user_id,item_id,label
U01,I14,1
U01,I17,0
U01,I04,0
U01,I16,0
U01,I20,0
U01,I12,1
U01,I10,0
U01,I18,1
U01,I06,0
U01,I07,1
U02,I07,0
U02,I04,0
U02,I02,0
U02,I06,1
U02,I18,0
U02,I05,1
U02,I17,1
U02,I16,1
U02,I10,1
U02,I13,0
U03,I14,1
U03,I17,0
U03,I11,0
U03,I04,1
U03,I01,0
U03,I03,1
U03,I05,0
U03,I02,0
U03,I16,0
U03,I13,0
U04,I14,1
U04,I10,0
U04,I11,0
U04,I09,1
U04,I06,0
U04,I07,0
U04,I08,1
U04,I19,1
U04,I20,1
U04,I13,1
U05,I04,0
U05,I07,1
U05,I18,1
U05,I01,1
U05,I13,1
U05,I14,0
U05,I11,1
U05,I17,1
U05,I03,0
U05,I05,0
U06,I09,1
U06,I15,1
U06,I02,0
U06,I04,1
U06,I08,0
U06,I19,0
U06,I10,1
U06,I11,1
U06,I17,0
U06,I07,0
U07,I09,1
U07,I14,1
U07,I18,0
U07,I07,0
U07,I10,1
U07,I16,1
U07,I08,0
U07,I05,1
U07,I17,0
U07,I20,1
U08,I13,1
U08,I10,0
U08,I18,1
U08,I16,0
U08,I19,1
U08,I14,1
U08,I09,0
U08,I01,1
U08,I04,0
U08,I07,1
U09,I12,1
U09,I18,0
U09,I03,0
U09,I08,0
U09,I10,1
U09,I06,1
U09,I11,1
U09,I19,0
U09,I07,0
U09,I09,0
U10,I04,1
U10,I18,0
U10,I12,0
U10,I02,0
U10,I07,0
U10,I16,1
U10,I09,0
U10,I20,0
U10,I14,0
U10,I19,0
U11,I17,0
U11,I08,1
U11,I10,0
U11,I05,0
U11,I19,1
U11,I20,1
U11,I04,1
U11,I09,1
U11,I06,0
U11,I07,0
U12,I10,0
U12,I17,1
U12,I02,1
U12,I01,1
U12,I12,1
U12,I19,0
U12,I15,0
U12,I20,0
U12,I03,0
U12,I06,1
